file	age	sex	item	F0_Hz	F0_sd	F1_Hz	F1_sd	F2_Hz	F2_sd	F3_Hz	F3_sd
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	had	126	16	687	83	1743	113	2497	137
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	hard	125	15	638	46	1051	74	2318	185
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	hoard	128	20	663	62	1026	57	2527	171
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	head	128	18	469	36	2082	130	2636	168
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	heed	136	21	286	32	2317	104	3033	191
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	herd	130	20	490	32	1363	99	1787	165
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	hid	130	15	409	32	2012	110	2671	148
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	hod	129	18	498	41	1127	93	2375	131
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	hood	135	21	446	46	1331	102	2380	125
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	hud	127	15	592	45	1331	71	2494	167
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	male	whod	135	17	333	33	1393	213	2282	114
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	had	209	22	825	81	2059	208	2928	95
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	hard	205	19	782	106	1287	97	2563	173
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	hoard	206	19	777	86	1140	91	2895	143
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	head	209	19	521	70	2536	138	2991	77
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	heed	221	23	390	32	2826	140	3416	162
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	herd	218	22	523	69	1550	110	1927	254
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	hid	216	24	466	51	2373	164	3014	94
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	hod	207	17	528	73	1206	183	2824	143
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	hood	214	20	491	56	1486	172	2836	154
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	hud	206	18	701	75	1641	89	2901	108
http://fonetiks.info/bgyang/db/96jp.pdf	18-27	female	whod	228	27	417	29	1511	326	2796	169
