id	file	sub	age	sex	item	trial	setting	F0_Hz	F1_Hz	F2_Hz	F3_Hz
1	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	baten	NA	NA	NA	737	1.372	NA
4	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	beten	NA	NA	NA	348	2.126	NA
7	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	betten	NA	NA	NA	489	1.817	NA
10	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	bieten	NA	NA	NA	263	2.171	NA
13	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	bitten	NA	NA	NA	369	1.902	NA
16	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	boten	NA	NA	NA	383	841	NA
19	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	böten	NA	NA	NA	371	1.501	NA
22	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	botten	NA	NA	NA	537	1.074	NA
25	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	buhten	NA	NA	NA	310	854	NA
28	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	butten	NA	NA	NA	391	1.010	NA
31	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	fallen	NA	NA	NA	694	1.372	NA
34	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	fühlen	NA	NA	NA	302	1.722	NA
37	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	füllen	NA	NA	NA	373	1.543	NA
40	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d201	NA	male	völlen	NA	NA	NA	474	1.477	NA
85	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	baten	NA	NA	NA	896	1.517	NA
88	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	beten	NA	NA	NA	434	2.461	NA
91	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	betten	NA	NA	NA	608	2.040	NA
94	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	bieten	NA	NA	NA	302	2533	NA
97	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	bitten	NA	NA	NA	433	2.095	NA
100	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	boten	NA	NA	NA	440	889	NA
103	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	böten	NA	NA	NA	440	1.605	NA
106	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	botten	NA	NA	NA	605	1.200	NA
109	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	buhten	NA	NA	NA	345	956	NA
112	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	butten	NA	NA	NA	442	1.081	NA
115	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	fallen	NA	NA	NA	836	1.586	NA
118	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	fühlen	NA	NA	NA	320	1.810	NA
121	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	füllen	NA	NA	NA	426	1.670	NA
124	https://www.kw.tu-berlin.de/fileadmin/a01311100/Formantkarten_des_deutschen_Vokalsystems_01.pdf	d203	NA	female	völlen	NA	NA	NA	564	1.654	NA
