id	file	sub	age	sex	item	trial	setting	F0_Hz	F1_Hz	F2_Hz	F3_Hz
1	d201	d201	NA	male	baten	NA	NA	NA	1069.127	1261.281	NA
2	d201	d201	NA	male	baten	NA	NA	NA	909.261	1331.23	NA
3	d201	d201	NA	male	baten	NA	NA	NA	883.034	1432.438	NA
4	d201	d201	NA	male	beten	NA	NA	NA	306.959	1597.21	NA
5	d201	d201	NA	male	beten	NA	NA	NA	369.106	2336.614	NA
6	d201	d201	NA	male	beten	NA	NA	NA	321.547	1910.5	NA
7	d201	d201	NA	male	betten	NA	NA	NA	626.974	1581.292	NA
8	d201	d201	NA	male	betten	NA	NA	NA	606.626	1706.946	NA
9	d201	d201	NA	male	betten	NA	NA	NA	675.326	1661.669	NA
10	d201	d201	NA	male	bieten	NA	NA	NA	245.35	1329.329	NA
11	d201	d201	NA	male	bieten	NA	NA	NA	250.718	1983.407	NA
12	d201	d201	NA	male	bieten	NA	NA	NA	253.401	1256.789	NA
13	d201	d201	NA	male	bitten	NA	NA	NA	369.158	1832.817	NA
14	d201	d201	NA	male	bitten	NA	NA	NA	382.508	1920.066	NA
15	d201	d201	NA	male	bitten	NA	NA	NA	382.137	1842.474	NA
16	d201	d201	NA	male	boten	NA	NA	NA	503.887	1600.555	NA
17	d201	d201	NA	male	boten	NA	NA	NA	385.963	818.938	NA
18	d201	d201	NA	male	boten	NA	NA	NA	336.12	934.84	NA
19	d201	d201	NA	male	böten	NA	NA	NA	303.615	1269.276	NA
20	d201	d201	NA	male	böten	NA	NA	NA	332.551	1267.867	NA
21	d201	d201	NA	male	böten	NA	NA	NA	322.738	1303.584	NA
22	d201	d201	NA	male	botten	NA	NA	NA	834.4	2670.259	NA
23	d201	d201	NA	male	botten	NA	NA	NA	837.103	898.563	NA
24	d201	d201	NA	male	botten	NA	NA	NA	869.94	2816.026	NA
25	d201	d201	NA	male	buhten	NA	NA	NA	343.535	682.79	NA
26	d201	d201	NA	male	buhten	NA	NA	NA	335.338	673.139	NA
27	d201	d201	NA	male	buhten	NA	NA	NA	300.835	1245.088	NA
28	d201	d201	NA	male	butten	NA	NA	NA	452.267	897.265	NA
