id	file	sub	age	sex	item	trial	setting	F0_Hz	F1_Hz	F2_Hz	F3_Hz
1	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	NA	NA	papa	NA	NA	NA	638	1.353	NA
2	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	NA	NA	pepa	NA	NA	NA	458	1.814	NA
3	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	NA	NA	pipa	NA	NA	NA	286	2147	NA
4	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	NA	NA	popa	NA	NA	NA	460	1.019	NA
5	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	NA	NA	pupa	NA	NA	NA	322	992	NA
6	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	male	papa	NA	NA	NA	658	1.389	NA
7	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	male	pepa	NA	NA	NA	464	1.832	NA
8	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	male	pipa	NA	NA	NA	327	2195	NA
9	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	male	popa	NA	NA	NA	488	1.003	NA
10	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s401	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	male	pupa	NA	NA	NA	361	799	NA
11	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s402	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	female	papa	NA	NA	NA	801	1.691	NA
12	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s402	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	female	pepa	NA	NA	NA	531	2.159	NA
13	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s402	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	female	pipa	NA	NA	NA	400	2.560	NA
14	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s402	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	female	popa	NA	NA	NA	568	1155	NA
15	https://pdfs.semanticscholar.org/56a0/07dadfa0d1d031f43df0af726734fca39011.pdf	s402	http://www.fon.hum.uva.nl/paul/papers/Spanish2011.pdf	female	pupa	NA	NA	NA	431	921	NA
