id	file	sub	age	sex	item	trial	setting	F0_Hz	F1_Hz	F2_Hz	F3_Hz
1	s401	s401	NA	male	papa	NA	NA	NA	546.501	1080.207	NA
2	s401	s401	NA	male	papa	NA	NA	NA	599.551	1139.705	NA
3	s401	s401	NA	male	papa	NA	NA	NA	459.284	1488.848	NA
4	s401	s401	NA	male	papa	NA	NA	NA	1023.421	1672.89	NA
5	s401	s401	NA	male	papa	NA	NA	NA	1013.906	1921.38	NA
6	s401	s401	NA	male	papa	NA	NA	NA	745.64	1752.195	NA
7	s401	s401	NA	male	pepa	NA	NA	NA	1171.161	1962.375	NA
8	s401	s401	NA	male	pepa	NA	NA	NA	501.473	1258.597	NA
9	s401	s401	NA	male	pepa	NA	NA	NA	782.187	1775.316	NA
10	s401	s401	NA	male	pepa	NA	NA	NA	1274.425	2079.489	NA
11	s401	s401	NA	male	pepa	NA	NA	NA	648.301	1903.272	NA
12	s401	s401	NA	male	pepa	NA	NA	NA	1111.176	2029.676	NA
13	s401	s401	NA	male	pipa	NA	NA	NA	848.746	2363.24	NA
14	s401	s401	NA	male	pipa	NA	NA	NA	924.175	2241.334	NA
15	s401	s401	NA	male	pipa	NA	NA	NA	910.154	2137.034	NA
16	s401	s401	NA	male	pipa	NA	NA	NA	311.695	2271.465	NA
17	s401	s401	NA	male	pipa	NA	NA	NA	1881.661	3460.26	NA
18	s401	s401	NA	male	pipa	NA	NA	NA	1615.385	3168.524	NA
19	s401	s401	NA	male	popa	NA	NA	NA	569.833	1075.113	NA
20	s401	s401	NA	male	popa	NA	NA	NA	505.87	1117.058	NA
21	s401	s401	NA	male	popa	NA	NA	NA	484.634	945.295	NA
22	s401	s401	NA	male	popa	NA	NA	NA	1666.041	2604.751	NA
23	s401	s401	NA	male	popa	NA	NA	NA	678.699	1764.826	NA
24	s401	s401	NA	male	popa	NA	NA	NA	779	1731.856	NA
25	s401	s401	NA	male	pupa	NA	NA	NA	562.831	1058.124	NA
26	s401	s401	NA	male	pupa	NA	NA	NA	878.303	1992.326	NA
27	s401	s401	NA	male	pupa	NA	NA	NA	281.148	1555.819	NA
28	s401	s401	NA	male	pupa	NA	NA	NA	402.201	1342.349	NA
29	s401	s401	NA	male	pupa	NA	NA	NA	693.517	2056.265	NA
30	s401	s401	NA	male	pupa	NA	NA	NA	400.17	1578.87	NA
31	s402	s402	NA	female	papa	NA	NA	NA	397.195	1435.764	NA
32	s402	s402	NA	female	papa	NA	NA	NA	389.121	1390.519	NA
33	s402	s402	NA	female	papa	NA	NA	NA	1065.405	2098.53	NA
34	s402	s402	NA	female	papa	NA	NA	NA	977.899	1919.9	NA
35	s402	s402	NA	female	papa	NA	NA	NA	1140.548	2108.167	NA
36	s402	s402	NA	female	papa	NA	NA	NA	902.466	1586.706	NA
37	s402	s402	NA	female	pepa	NA	NA	NA	573.217	1598.449	NA
