age	sub	item	trial	F1_Hz	F2_Hz	F3_Hz	file
65+	S1-1	heed	1	358	2210	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	hid	1	397	1877	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	head	1	436	1885	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	had	1	485	1545	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	hard	1	603	996	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	hod	1	509	837	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	hoard	1	407	653	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	hood	1	415	1006	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	who'd	1	380	989	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
65+	S1-1	hud	1	539	1189	NA	http://journals.cambridge.org/download.php?file=%2F8073_AB860519E0620A6A72A365C3CC382958_journals__IPA_IPA35_02_S0025100305002124a.pdf&cover=Y&code=42083aa6627e64fc4579326df0a7aa58
